photo_id,date,phase
20250716.JPG,20250716,t
20250717.JPG,20250717,t
20250718.JPG,20250718,t
20250719.JPG,20250719,t
20250720.JPG,20250720,p
20250721.JPG,20250721,p
20250725.JPG,20250725,p
20250729.JPG,20250729,o
20250803.JPG,20250803,o
20250804.JPG,20250804,o
20250806.JPG,20250806,p
20250809.JPG,20250809,p
20250811.JPG,20250811,t
20250812.JPG,20250812,t
20250814.JPG,20250814,t
20250815.JPG,20250815,t
20250819.JPG,20250819,p
20250820.JPG,20250820,p
20250822.JPG,20250822,p
20250824.JPG,20250824,p
20250825.JPG,20250825,p
20250826.JPG,20250826,p
20250829.JPG,20250829,p
20250830.JPG,20250830,p
20250901.JPG,20250901,p
20250902.JPG,20250902,p
20250903.JPG,20250903,p
20250905.JPG,20250905,t
20250906.JPG,20250906,t
20250908.JPG,20250908,t
20250912.JPG,20250912,t
20250913.JPG,20250913,t
20250916.JPG,20250916,t
20250917.JPG,20250917,t
20250918.JPG,20250918,p
20250919.JPG,20250919,p
20250920.JPG,20250920,o
20250921.JPG,20250921,o
20250926.JPG,20250926,o
20250928.JPG,20250928,o
20250929.JPG,20250929,p
20250930.JPG,20250930,p
20251004.JPG,20251004,p
20251006.JPG,20251006,p
20251011.JPG,20251011,t
20251014.JPG,20251014,t
